institution_id,attendance_count,material_count,assessment_count,teacher_count,student_count,class_count,engagement_score,churn_label
1,0,5,0,0,6,0,0.93,1
3,0,0,0,0,0,0,0.0,1
6,0,0,0,0,0,0,0.0,1
7,0,0,0,0,0,0,0.0,1
59,0,2,0,10,284,0,5.17,0
60,0,0,0,1,59,11,0.0,0
61,0,0,0,0,0,0,0.0,1
74,0,0,0,0,2,0,0.0,0
80,0,0,0,1,10,1,0.0,0
81,0,0,0,1,154,5,0.0,0
